,uf_co,uf_no,ano,sexo,racacor,Total,0 a 4 anos,100 anos ou mais,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos
0,11,Rondônia,2010,Homens,Branca,274670,24744,8,2808,1621,641,224,54
1,11,Rondônia,2010,Mulheres,Branca,277173,24895,15,2752,1510,730,221,57
2,11,Rondônia,2010,Homens,Preta,60563,2335,6,672,365,181,68,19
3,11,Rondônia,2010,Mulheres,Preta,46519,2094,5,487,263,108,60,23
4,11,Rondônia,2010,Homens,Amarela,10126,805,-,67,44,19,8,2
5,11,Rondônia,2010,Mulheres,Amarela,12083,777,-,65,36,23,7,-
6,11,Rondônia,2010,Homens,Parda,443524,36057,20,3184,1859,743,252,65
7,11,Rondônia,2010,Mulheres,Parda,425582,34397,28,2908,1535,688,264,102
8,11,Rondônia,2010,Homens,Indígena,6143,909,-,44,24,25,10,3
9,11,Rondônia,2010,Mulheres,Indígena,5872,910,-,28,34,12,12,5
10,11,Rondônia,2022,Homens,Branca,236680,20156,18,3931,2464,1070,456,101
11,11,Rondônia,2022,Mulheres,Branca,249443,19941,22,4253,2702,1428,543,120
12,11,Rondônia,2022,Homens,Preta,75620,2325,10,1251,775,350,146,35
13,11,Rondônia,2022,Mulheres,Preta,61173,2299,19,1040,613,321,127,39
14,11,Rondônia,2022,Homens,Amarela,1976,118,1,44,20,9,8,1
15,11,Rondônia,2022,Mulheres,Amarela,2281,84,-,36,27,14,9,4
16,11,Rondônia,2022,Homens,Parda,464905,34084,20,5259,3271,1551,570,140
17,11,Rondônia,2022,Mulheres,Parda,471803,32510,48,5266,3212,1559,570,166
18,11,Rondônia,2022,Homens,Indígena,8792,978,3,74,60,21,8,6
19,11,Rondônia,2022,Mulheres,Indígena,8486,954,6,89,50,30,14,8
20,12,Acre,2010,Homens,Branca,84678,11094,8,730,543,251,102,34
21,12,Acre,2010,Mulheres,Branca,90288,11355,15,771,547,245,110,49
22,12,Acre,2010,Homens,Preta,24251,1459,3,248,136,64,33,8
23,12,Acre,2010,Mulheres,Preta,18280,1245,6,186,115,59,28,14
24,12,Acre,2010,Homens,Amarela,6124,682,-,55,29,16,4,1
25,12,Acre,2010,Mulheres,Amarela,7751,626,1,52,27,9,5,1
26,12,Acre,2010,Homens,Parda,245173,24589,23,1730,1074,550,195,90
27,12,Acre,2010,Mulheres,Parda,241081,23082,32,1640,1021,548,238,95
28,12,Acre,2010,Homens,Indígena,8090,1651,2,53,46,30,10,3
29,12,Acre,2010,Mulheres,Indígena,7831,1582,1,43,36,17,12,5
30,12,Acre,2022,Homens,Branca,86119,9779,18,1009,645,318,154,57
31,12,Acre,2022,Mulheres,Branca,91873,9672,17,1170,856,425,225,75
32,12,Acre,2022,Homens,Preta,39430,1562,9,488,319,134,62,17
33,12,Acre,2022,Mulheres,Preta,31656,1481,5,485,264,140,62,23
34,12,Acre,2022,Homens,Amarela,820,48,-,12,1,2,3,-
35,12,Acre,2022,Mulheres,Amarela,1058,55,1,13,3,5,1,1
36,12,Acre,2022,Homens,Parda,274213,22169,35,2763,1617,756,296,98
37,12,Acre,2022,Mulheres,Parda,275676,21263,42,2839,1711,876,404,124
38,12,Acre,2022,Homens,Indígena,14745,2522,10,80,59,44,19,9
39,12,Acre,2022,Mulheres,Indígena,14418,2450,5,110,92,42,39,10
40,13,Amazonas,2010,Homens,Branca,354936,43398,37,2513,1652,787,264,97
41,13,Amazonas,2010,Mulheres,Branca,385129,43958,62,3469,2446,1283,557,181
42,13,Amazonas,2010,Homens,Preta,82906,4765,16,676,392,177,65,21
43,13,Amazonas,2010,Mulheres,Preta,60842,4008,20,582,317,184,86,46
44,13,Amazonas,2010,Homens,Amarela,14654,1290,2,113,53,27,15,3
45,13,Amazonas,2010,Mulheres,Amarela,17119,1151,1,110,55,40,13,4
46,13,Amazonas,2010,Homens,Parda,1213379,125407,88,7785,4321,2118,894,271
47,13,Amazonas,2010,Mulheres,Parda,1186334,120409,174,8308,4924,2764,1263,553
48,13,Amazonas,2010,Homens,Indígena,87299,13647,6,660,332,226,116,34
49,13,Amazonas,2010,Mulheres,Indígena,81381,13281,9,470,311,223,132,39
50,13,Amazonas,2022,Homens,Branca,345299,37420,38,3609,2095,979,407,104
51,13,Amazonas,2022,Mulheres,Branca,379708,37193,81,4910,3266,1987,906,287
52,13,Amazonas,2022,Homens,Preta,111822,4156,19,1308,746,341,124,49
53,13,Amazonas,2022,Mulheres,Preta,81845,3801,30,1187,738,379,164,67
54,13,Amazonas,2022,Homens,Amarela,2864,135,-,60,47,18,3,2
55,13,Amazonas,2022,Mulheres,Amarela,3099,137,3,59,37,22,7,2
56,13,Amazonas,2022,Homens,Parda,1350647,115554,130,11240,6397,3039,1228,373
57,13,Amazonas,2022,Mulheres,Parda,1360971,111087,308,13062,7893,4370,1879,695
58,13,Amazonas,2022,Homens,Indígena,155125,21410,55,1125,824,392,168,89
59,13,Amazonas,2022,Mulheres,Indígena,150118,20826,67,1309,881,392,200,107
60,14,Roraima,2010,Homens,Branca,46380,5096,2,300,189,92,48,12
61,14,Roraima,2010,Mulheres,Branca,47872,5019,3,340,248,123,50,12
62,14,Roraima,2010,Homens,Preta,15308,772,1,132,72,27,11,5
63,14,Roraima,2010,Mulheres,Preta,11056,646,-,80,42,31,10,-
64,14,Roraima,2010,Homens,Amarela,1954,172,-,14,6,3,1,1
65,14,Roraima,2010,Mulheres,Amarela,2364,173,-,15,5,4,2,-
66,14,Roraima,2010,Homens,Parda,139886,13802,9,742,414,215,68,20
67,14,Roraima,2010,Mulheres,Parda,136022,13107,8,668,440,226,88,35
68,14,Roraima,2010,Homens,Indígena,25331,4477,5,146,83,41,17,5
69,14,Roraima,2010,Mulheres,Indígena,24306,4339,7,138,87,47,29,10
70,14,Roraima,2022,Homens,Branca,63778,7434,6,575,359,164,65,10
71,14,Roraima,2022,Mulheres,Branca,67482,7133,11,665,405,215,79,32
72,14,Roraima,2022,Homens,Preta,27946,1389,3,346,173,88,37,7
73,14,Roraima,2022,Mulheres,Preta,21249,1233,2,230,131,51,23,11
74,14,Roraima,2022,Homens,Amarela,358,20,-,7,6,-,-,-
75,14,Roraima,2022,Mulheres,Amarela,426,18,-,7,2,1,1,-
76,14,Roraima,2022,Homens,Parda,182516,16762,14,1409,742,348,117,37
77,14,Roraima,2022,Mulheres,Parda,181978,16107,21,1309,744,402,183,56
78,14,Roraima,2022,Homens,Indígena,45207,7309,10,232,174,67,42,7
79,14,Roraima,2022,Mulheres,Indígena,44675,7194,6,266,210,88,48,15
80,15,Pará,2010,Homens,Branca,801518,89493,58,7334,4338,2100,828,288
81,15,Pará,2010,Mulheres,Branca,851789,90731,160,9525,6281,3187,1631,611
82,15,Pará,2010,Homens,Preta,308486,17053,29,2996,1607,764,314,111
83,15,Pará,2010,Mulheres,Preta,240339,14777,67,2533,1507,759,395,176
84,15,Pará,2010,Homens,Amarela,31629,2789,1,287,178,53,32,8
85,15,Pará,2010,Mulheres,Amarela,37569,2688,3,294,176,96,42,13
86,15,Pará,2010,Homens,Parda,2660125,263100,185,19285,10503,4810,2297,722
87,15,Pará,2010,Mulheres,Parda,2610182,250073,391,20194,12242,6219,3313,1398
