uf_co,uf_no,ano,sexo,racacor,pop_under74
11,Rondônia,2010,_1,_1,269314
11,Rondônia,2010,_2,_1,271888
11,Rondônia,2010,_1,_2,59252
11,Rondônia,2010,_2,_2,45573
11,Rondônia,2010,_1,_3,9986
11,Rondônia,2010,_2,_3,11952
11,Rondônia,2010,_1,_4,437401
11,Rondônia,2010,_2,_4,420057
11,Rondônia,2010,_1,_5,6037
11,Rondônia,2010,_2,_5,5781
11,Rondônia,2022,_1,_1,228640
11,Rondônia,2022,_2,_1,240375
11,Rondônia,2022,_1,_2,73053
11,Rondônia,2022,_2,_2,59014
11,Rondônia,2022,_1,_3,1893
11,Rondônia,2022,_2,_3,2191
11,Rondônia,2022,_1,_4,454094
11,Rondônia,2022,_2,_4,460982
11,Rondônia,2022,_1,_5,8620
11,Rondônia,2022,_2,_5,8289
12,Acre,2010,_1,_1,83010
12,Acre,2010,_2,_1,88551
12,Acre,2010,_1,_2,23759
12,Acre,2010,_2,_2,17872
12,Acre,2010,_1,_3,6019
12,Acre,2010,_2,_3,7656
12,Acre,2010,_1,_4,241511
12,Acre,2010,_2,_4,237507
12,Acre,2010,_1,_5,7946
12,Acre,2010,_2,_5,7717
12,Acre,2022,_1,_1,83918
12,Acre,2022,_2,_1,89105
12,Acre,2022,_1,_2,38401
12,Acre,2022,_2,_2,30677
12,Acre,2022,_1,_3,802
12,Acre,2022,_2,_3,1034
12,Acre,2022,_1,_4,268648
12,Acre,2022,_2,_4,269680
12,Acre,2022,_1,_5,14524
12,Acre,2022,_2,_5,14120
13,Amazonas,2010,_1,_1,349586
13,Amazonas,2010,_2,_1,377131
13,Amazonas,2010,_1,_2,81559
13,Amazonas,2010,_2,_2,59607
13,Amazonas,2010,_1,_3,14441
13,Amazonas,2010,_2,_3,16896
13,Amazonas,2010,_1,_4,1197902
13,Amazonas,2010,_2,_4,1168348
13,Amazonas,2010,_1,_5,85925
13,Amazonas,2010,_2,_5,80197
13,Amazonas,2022,_1,_1,338067
13,Amazonas,2022,_2,_1,368271
13,Amazonas,2022,_1,_2,109235
13,Amazonas,2022,_2,_2,79280
