avoid_flag,prevent_flag,treat_flag,Group,Causes of deaths,Rationale for inclusion,Range,cid_pai
Avoidable mortality,Preventable mortality,,Infectious diseases,Intestinal diseases,Most of these infections can be prevented through prevention measures (e.g. improve water and food safety),(A00-A09),A0
Avoidable mortality,Preventable mortality,,Infectious diseases,"Diphtheria, Tetanus, Poliomyelitis",Most of these infections can be prevented through vaccination.,"(A35, A36, A80)",A35
Avoidable mortality,Preventable mortality,,Infectious diseases,"Diphtheria, Tetanus, Poliomyelitis",Most of these infections can be prevented through vaccination.,"(A35, A36, A80)",A36
Avoidable mortality,Preventable mortality,,Infectious diseases,"Diphtheria, Tetanus, Poliomyelitis",Most of these infections can be prevented through vaccination.,"(A35, A36, A80)",A80
Avoidable mortality,Preventable mortality,,Infectious diseases,Whooping cough,Most of these infections can be prevented through vaccination.,(A37),A37
Avoidable mortality,Preventable mortality,,Infectious diseases,Meningococcal infection,Most of these infections can be prevented through vaccination.,(A39),A39
Avoidable mortality,Preventable mortality,,Infectious diseases,Sepsis due to streptococcus pneumonia and depsis due to hemophilus influenzae,Most of these infections can be prevented through vaccination.,"(A40.3, , A41.3)",A403
Avoidable mortality,Preventable mortality,,Infectious diseases,Sepsis due to streptococcus pneumonia and depsis due to hemophilus influenzae,Most of these infections can be prevented through vaccination.,"(A40.3, , A41.3)",A413
Avoidable mortality,Preventable mortality,,Infectious diseases,Haemophilus inflenza infections,Most of these infections can be prevented through vaccination.,(A49.2),A492
Avoidable mortality,Preventable mortality,,Infectious diseases,Sexually transmitted infections (except HIV/AIDS),These infections can be prevented through prevention measures.,"(A50-A60, A63, A64)",A5
Avoidable mortality,Preventable mortality,,Infectious diseases,Sexually transmitted infections (except HIV/AIDS),These infections can be prevented through prevention measures.,"(A50-A60, A63, A64)",A60
Avoidable mortality,Preventable mortality,,Infectious diseases,Sexually transmitted infections (except HIV/AIDS),These infections can be prevented through prevention measures.,"(A50-A60, A63, A64)",A63
Avoidable mortality,Preventable mortality,,Infectious diseases,Sexually transmitted infections (except HIV/AIDS),These infections can be prevented through prevention measures.,"(A50-A60, A63, A64)",A64
Avoidable mortality,Preventable mortality,,Infectious diseases,Varicella,Most of these infections can be prevented through vaccination.,(B01),B01
Avoidable mortality,Preventable mortality,,Infectious diseases,Measles,Most of these infections can be prevented through vaccination.,(B05),B05
Avoidable mortality,Preventable mortality,,Infectious diseases,Rubella,Most of these infections can be prevented through vaccination.,(B06),B06
Avoidable mortality,Preventable mortality,,Infectious diseases,Viral Hepatitis,This condition is preventable and will not require treatment if prevented.,(B15-B19),B15
Avoidable mortality,Preventable mortality,,Infectious diseases,Viral Hepatitis,This condition is preventable and will not require treatment if prevented.,(B15-B19),B16
Avoidable mortality,Preventable mortality,,Infectious diseases,Viral Hepatitis,This condition is preventable and will not require treatment if prevented.,(B15-B19),B17
Avoidable mortality,Preventable mortality,,Infectious diseases,Viral Hepatitis,This condition is preventable and will not require treatment if prevented.,(B15-B19),B18
Avoidable mortality,Preventable mortality,,Infectious diseases,Viral Hepatitis,This condition is preventable and will not require treatment if prevented.,(B15-B19),B19
Avoidable mortality,Preventable mortality,,Infectious diseases,HIV/AIDS,This condition is preventable and will not require treatment if prevented.,(B20-B24),B20
